;MV1_Singlecell_C;MV2_Singlecell_R;MV3_Singlecell_N;MV4_Cellgroups_C;MV5_Cellgroups_R;MV6_Cellgroups_N;Average_Cellgroups;Average_Singlecell;Average_C;Average_R;Average_N
Cre09.g393469.v5.5;384;12;60;25;39;56;40;152;204,5;25,5;58
Cre09.g393506.v5.5;115;44;78;463;146;170;259,6666667;79;289;95;124
Cre09.g393543.v5.5;455;1210;822;1075;968;603;882;829;765;1089;712,5
Cre09.g393550.v5.5;22;14;16;4;18;20;14;17,33333333;13;16;18
Cre09.g393551.v5.5;46;37;66;19;33;28;26,66666667;49,66666667;32,5;35;47
Cre09.g393580.v5.5;144;37;52;30;27;33;30;77,66666667;87;32;42,5
Cre09.g393600.v5.5;21;2;5;2;3;3;2,666666667;9,333333333;11,5;2,5;4
Cre09.g393617.v5.5;477;285;590;239;248;446;311;450,6666667;358;266,5;518
Cre09.g393650.v5.5;2822;1022;1670;2258;1145;1938;1780,333333;1838;2540;1083,5;1804
Cre09.g393654.v5.5;21;18;20;1;5;14;6,666666667;19,66666667;11;11,5;17
Cre09.g393691.v5.5;355;202;377;210;98;183;163,6666667;311,3333333;282,5;150;280
Cre09.g393700.v5.5;2191;294;492;658;290;605;517,6666667;992,3333333;1424,5;292;548,5
Cre09.g393728.v5.5;269;91;150;177;79;91;115,6666667;170;223;85;120,5
Cre09.g393750.v5.5;46;6;12;3;7;1;3,666666667;21,33333333;24,5;6,5;6,5
Cre09.g393765.v5.5;1083;660;947;671;558;781;670;896,6666667;877;609;864
Cre09.g393800.v5.5;41;25;52;29;13;32;24,66666667;39,33333333;35;19;42
Cre09.g393802.v5.5;456;322;547;719;525;681;641,6666667;441,6666667;587,5;423,5;614
Cre09.g393839.v5.5;0;8;3;9;19;25;17,66666667;3,666666667;4,5;13,5;14
Cre09.g393850.v5.5;10;1;2;114;69;103;95,33333333;4,333333333;62;35;52,5
Cre09.g393876.v5.5;104;51;145;80;43;133;85,33333333;100;92;47;139
Cre09.g393900.v5.5;178;38;93;18;30;28;25,33333333;103;98;34;60,5
Cre09.g393913.v5.5;85;41;183;390;201;389;326,6666667;103;237,5;121;286
Cre09.g393950.v5.5;37;21;55;58;51;66;58,33333333;37,66666667;47,5;36;60,5
Cre09.g393953.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre09.g393954.v5.5;2971;2554;1226;2487;1466;2780;2244,333333;2250,333333;2729;2010;2003
Cre09.g393991.v5.5;101;60;92;146;96;85;109;84,33333333;123,5;78;88,5
Cre09.g394000.v5.5;31;5;1;4;4;2;3,333333333;12,33333333;17,5;4,5;1,5
Cre09.g394028.v5.5;120;71;83;85;114;115;104,6666667;91,33333333;102,5;92,5;99
Cre09.g394050.v5.5;82;19;55;36;38;52;42;52;59;28,5;53,5
Cre09.g394065.v5.5;807;181;141;168;246;228;214;376,3333333;487,5;213,5;184,5
Cre09.g394100.v5.5;189;70;123;50;38;86;58;127,3333333;119,5;54;104,5
Cre09.g394102.v5.5;212;90;136;131;125;172;142,6666667;146;171,5;107,5;154
Cre09.g394139.v5.5;322;203;334;525;331;592;482,6666667;286,3333333;423,5;267;463
Cre09.g394150.v5.5;113;17;24;27;22;65;38;51,33333333;70;19,5;44,5
Cre09.g394176.v5.5;22;27;61;56;44;43;47,66666667;36,66666667;39;35,5;52
Cre09.g394200.v5.5;15229;2113;3304;2537;2607;6388;3844;6882;8883;2360;4846
Cre09.g394213.v5.5;467;553;236;478;379;718;525;418,6666667;472,5;466;477
Cre09.g394250.v5.5;232;99;261;125;131;242;166;197,3333333;178,5;115;251,5
Cre09.g394251.v5.5;2712;2542;1189;2183;1395;2638;2072;2147,666667;2447,5;1968,5;1913,5
Cre09.g394288.v5.5;654;197;692;599;356;465;473,3333333;514,3333333;626,5;276,5;578,5
Cre09.g394325.v5.5;105;18;54;214;129;263;202;59;159,5;73,5;158,5
Cre09.g394350.v5.5;72;12;27;16;8;16;13,33333333;37;44;10;21,5
Cre09.g394362.v5.5;36;8;41;86;64;86;78,66666667;28,33333333;61;36;63,5
Cre09.g394399.v5.5;709;224;725;821;323;842;662;552,6666667;765;273,5;783,5
Cre09.g394400.v5.5;254;39;40;45;21;40;35,33333333;111;149,5;30;40
Cre09.g394436.v5.5;3799;2151;2382;930;879;691;833,3333333;2777,333333;2364,5;1515;1536,5
Cre09.g394450.v5.5;951;549;928;1218;687;1242;1049;809,3333333;1084,5;618;1085
Cre09.g394473.v5.5;5121;4057;4815;2881;2085;2131;2365,666667;4664,333333;4001;3071;3473
Cre09.g394510.v5.5;365;683;844;226;206;223;218,3333333;630,6666667;295,5;444,5;533,5
Cre09.g394547.v5.5;479;441;662;362;330;399;363,6666667;527,3333333;420,5;385,5;530,5
Cre09.g394550.v5.5;1899;823;1674;1260;524;1260;1014,666667;1465,333333;1579,5;673,5;1467
Cre09.g394584.v5.5;62;20;47;76;52;69;65,66666667;43;69;36;58
Cre09.g394600.v5.5;37;6;4;16;7;5;9,333333333;15,66666667;26,5;6,5;4,5
Cre09.g394621.v5.5;363;239;407;251;147;172;190;336,3333333;307;193;289,5
Cre09.g394658.v5.5;34;15;33;19;19;42;26,66666667;27,33333333;26,5;17;37,5
Cre09.g394695.v5.5;8;3;2;1;2;1;1,333333333;4,333333333;4,5;2,5;1,5
Cre09.g394700.v5.5;127;44;68;75;10;62;49;79,66666667;101;27;65
Cre09.g394701.v5.5;87;16;23;17;9;7;11;42;52;12,5;15
Cre09.g394732.v5.5;27;4;9;15;24;19;19,33333333;13,33333333;21;14;14
Cre09.g394750.v5.5;3185;1959;2839;2451;1441;1855;1915,666667;2661;2818;1700;2347
Cre09.g394769.v5.5;135;92;117;52;39;55;48,66666667;114,6666667;93,5;65,5;86
Cre09.g394800.v5.5;19;8;13;13;9;15;12,33333333;13,33333333;16;8,5;14
Cre09.g394806.v5.5;91;86;92;81;56;89;75,33333333;89,66666667;86;71;90,5
Cre09.g394843.v5.5;56;31;57;39;31;37;35,66666667;48;47,5;31;47
Cre09.g394850.v5.5;259;78;122;118;63;86;89;153;188,5;70,5;104
Cre09.g394880.v5.5;113;46;78;71;55;95;73,66666667;79;92;50,5;86,5
Cre09.g394900.v5.5;496;212;256;371;259;413;347,6666667;321,3333333;433,5;235,5;334,5
Cre09.g394917.v5.5;183;257;407;154;168;170;164;282,3333333;168,5;212,5;288,5
Cre09.g394954.v5.5;100;71;70;90;115;91;98,66666667;80,33333333;95;93;80,5
Cre09.g394991.v5.5;73;21;49;41;56;60;52,33333333;47,66666667;57;38,5;54,5
Cre09.g395000.v5.5;69;19;33;51;76;92;73;40,33333333;60;47,5;62,5
Cre09.g395028.v5.5;92;72;107;51;49;74;58;90,33333333;71,5;60,5;90,5
Cre09.g395050.v5.5;118;1;2;12;8;8;9,333333333;40,33333333;65;4,5;5
Cre09.g395065.v5.5;172;75;273;186;104;212;167,3333333;173,3333333;179;89,5;242,5
Cre09.g395100.v5.5;372;508;464;766;416;842;674,6666667;448;569;462;653
Cre09.g395102.v5.5;48;5;23;22;4;11;12,33333333;25,33333333;35;4,5;17
Cre09.g395139.v5.5;59;24;53;9;11;5;8,333333333;45,33333333;34;17,5;29
Cre09.g395150.v5.5;246;203;386;349;262;747;452,6666667;278,3333333;297,5;232,5;566,5
Cre09.g395176.v5.5;21;15;12;3;4;15;7,333333333;16;12;9,5;13,5
Cre09.g395200.v5.5;9;3;5;0;16;4;6,666666667;5,666666667;4,5;9,5;4,5
Cre09.g395213.v5.5;187;103;116;29;25;9;21;135,3333333;108;64;62,5
Cre09.g395250.v5.5;200;76;91;96;56;80;77,33333333;122,3333333;148;66;85,5
Cre09.g395251.v5.5;89;6;26;67;87;140;98;40,33333333;78;46,5;83
Cre09.g395288.v5.5;14;9;24;10;7;15;10,66666667;15,66666667;12;8;19,5
Cre09.g395300.v5.5;28;16;24;9;11;19;13;22,66666667;18,5;13,5;21,5
Cre09.g395325.v5.5;303;86;267;198;137;259;198;218,6666667;250,5;111,5;263
Cre09.g395350.v5.5;1324;491;605;548;425;431;468;806,6666667;936;458;518
Cre09.g395362.v5.5;222;71;175;253;193;306;250,6666667;156;237,5;132;240,5
Cre09.g395399.v5.5;5;1;1;2;9;2;4,333333333;2,333333333;3,5;5;1,5
Cre09.g395400.v5.5;237;45;47;91;53;55;66,33333333;109,6666667;164;49;51
Cre09.g395436.v5.5;264;138;357;209;159;251;206,3333333;253;236,5;148,5;304
Cre09.g395450.v5.5;17;2;2;2;4;10;5,333333333;7;9,5;3;6
Cre09.g395473.v5.5;136;46;153;146;83;193;140,6666667;111,6666667;141;64,5;173
Cre09.g395500.v5.5;87;89;90;232;131;229;197,3333333;88,66666667;159,5;110;159,5
Cre09.g395510.v5.5;0;0;1;0;0;1;0,333333333;0,333333333;0;0;1
Cre09.g395547.v5.5;66;20;59;89;99;208;132;48,33333333;77,5;59,5;133,5
Cre09.g395550.v5.5;36;9;23;27;14;18;19,66666667;22,66666667;31,5;11,5;20,5
Cre09.g395584.v5.5;81;23;48;60;60;64;61,33333333;50,66666667;70,5;41,5;56
Cre09.g395600.v5.5;225;28;61;69;29;78;58,66666667;104,6666667;147;28,5;69,5
Cre09.g395621.v5.5;38;10;52;30;29;41;33,33333333;33,33333333;34;19,5;46,5
Cre09.g395646.v5.5;0;0;1;0;0;0;0;0,333333333;0;0;0,5
Cre09.g395650.v5.5;152;54;26;30;17;18;21,66666667;77,33333333;91;35,5;22
Cre09.g395658.v5.5;1405;849;1214;521;365;362;416;1156;963;607;788
Cre09.g395695.v5.5;59;79;102;108;137;217;154;80;83,5;108;159,5
Cre09.g395700.v5.5;37;8;8;7;5;0;4;17,66666667;22;6,5;4
Cre09.g395732.v5.5;37;93;136;51;56;92;66,33333333;88,66666667;44;74,5;114
Cre09.g395750.v5.5;53;15;32;27;12;96;45;33,33333333;40;13,5;64
Cre09.g395769.v5.5;882;376;451;744;449;506;566,3333333;569,6666667;813;412,5;478,5
Cre09.g395800.v5.5;155;41;50;24;19;25;22,66666667;82;89,5;30;37,5
Cre09.g395806.v5.5;0;0;0;1;2;2;1,666666667;0;0,5;1;1
Cre09.g395843.v5.5;98;32;127;84;41;164;96,33333333;85,66666667;91;36,5;145,5
Cre09.g395850.v5.5;105;7;23;34;11;55;33,33333333;45;69,5;9;39
Cre09.g395880.v5.5;541;320;659;783;346;687;605,3333333;506,6666667;662;333;673
Cre09.g395900.v5.5;797;655;557;2086;1283;2306;1891,666667;669,6666667;1441,5;969;1431,5
Cre09.g395917.v5.5;121;26;93;44;48;68;53,33333333;80;82,5;37;80,5
Cre09.g395925.v5.5;3;0;0;0;3;0;1;1;1,5;1,5;0
Cre09.g395950.v5.5;13052;3987;6981;4772;2685;4692;4049,666667;8006,666667;8912;3336;5836,5
Cre09.g395954.v5.5;45;15;41;10;3;16;9,666666667;33,66666667;27,5;9;28,5
Cre09.g395991.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre09.g396000.v5.5;1121;82;1174;8;2;29;13;792,3333333;564,5;42;601,5
Cre09.g396028.v5.5;12;1;4;23;11;26;20;5,666666667;17,5;6;15
Cre09.g396050.v5.5;104;7;30;49;16;42;35,66666667;47;76,5;11,5;36
Cre09.g396065.v5.5;462;72;110;46;23;37;35,33333333;214,6666667;254;47,5;73,5
Cre09.g396100.v5.5;1135;118;142;276;391;715;460,6666667;465;705,5;254,5;428,5
Cre09.g396102.v5.5;54;47;59;33;50;50;44,33333333;53,33333333;43,5;48,5;54,5
Cre09.g396139.v5.5;444;213;498;222;172;294;229,3333333;385;333;192,5;396
Cre09.g396150.v5.5;62;47;57;79;37;52;56;55,33333333;70,5;42;54,5
Cre09.g396176.v5.5;7;2;7;1;3;1;1,666666667;5,333333333;4;2,5;4
Cre09.g396200.v5.5;1539;868;1253;2254;972;1554;1593,333333;1220;1896,5;920;1403,5
Cre09.g396213.v5.5;12382;19618;15179;8108;8592;6157;7619;15726,33333;10245;14105;10668
Cre09.g396250.v5.5;57;139;133;82;75;79;78,66666667;109,6666667;69,5;107;106
Cre09.g396252.v5.5;548;348;542;420;292;434;382;479,3333333;484;320;488
Cre09.g396289.v5.5;39;30;29;31;22;12;21,66666667;32,66666667;35;26;20,5
Cre09.g396300.v5.5;236;326;237;260;236;365;287;266,3333333;248;281;301
Cre09.g396326.v5.5;259;141;281;139;147;115;133,6666667;227;199;144;198
Cre09.g396350.v5.5;105;85;43;295;370;311;325,3333333;77,66666667;200;227,5;177
Cre09.g396363.v5.5;323;182;306;240;103;249;197,3333333;270,3333333;281,5;142,5;277,5
Cre09.g396400.v5.5;241;32;68;68;28;59;51,66666667;113,6666667;154,5;30;63,5
Cre09.g396401.v5.5;1576;407;2800;1758;588;2121;1489;1594,333333;1667;497,5;2460,5
Cre09.g396438.v5.5;268;111;254;201;161;253;205;211;234,5;136;253,5
Cre09.g396450.v5.5;586;166;559;426;210;612;416;437;506;188;585,5
Cre09.g396451.v5.5;0;0;1;0;0;0;0;0,333333333;0;0;0,5
Cre09.g396475.v5.5;113;29;41;34;37;39;36,66666667;61;73,5;33;40
Cre09.g396500.v5.5;99;12;20;16;14;92;40,66666667;43,66666667;57,5;13;56
Cre09.g396512.v5.5;727;212;356;151;151;202;168;431,6666667;439;181,5;279
Cre09.g396549.v5.5;611;149;107;153;59;84;98,66666667;289;382;104;95,5
Cre09.g396550.v5.5;288;526;647;337;198;204;246,3333333;487;312,5;362;425,5
Cre09.g396586.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre09.g396587.v5.5;682;472;833;331;231;279;280,3333333;662,3333333;506,5;351,5;556
Cre09.g396600.v5.5;1614;337;283;43;30;5;26;744,6666667;828,5;183,5;144
Cre09.g396624.v5.5;586;253;382;275;229;326;276,6666667;407;430,5;241;354
Cre09.g396650.v5.5;1484;451;273;228;140;82;150;736;856;295,5;177,5
Cre09.g396661.v5.5;307;112;185;188;158;196;180,6666667;201,3333333;247,5;135;190,5
Cre09.g396694.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre09.g396698.v5.5;269;200;317;1208;880;1197;1095;262;738,5;540;757
Cre09.g396700.v5.5;547;100;75;12;17;12;13,66666667;240,6666667;279,5;58,5;43,5
Cre09.g396735.v5.5;278;181;311;433;251;547;410,3333333;256,6666667;355,5;216;429
Cre09.g396750.v5.5;242;0;0;1;0;9;3,333333333;80,66666667;121,5;0;4,5
Cre09.g396772.v5.5;477;137;165;279;482;497;419,3333333;259,6666667;378;309,5;331
Cre09.g396800.v5.5;1724;45;57;303;140;292;245;608,6666667;1013,5;92,5;174,5
Cre09.g396809.v5.5;213;48;70;132;59;235;142;110,3333333;172,5;53,5;152,5
Cre09.g396846.v5.5;975;270;764;833;403;923;719,6666667;669,6666667;904;336,5;843,5
Cre09.g396850.v5.5;53;35;54;56;36;17;36,33333333;47,33333333;54,5;35,5;35,5
Cre09.g396883.v5.5;60;39;65;39;57;47;47,66666667;54,66666667;49,5;48;56
Cre09.g396900.v5.5;392;83;124;51;27;55;44,33333333;199,6666667;221,5;55;89,5
Cre09.g396920.v5.5;44;14;8;18;36;27;27;22;31;25;17,5
Cre09.g396950.v5.5;3612;880;1111;915;284;841;680;1867,666667;2263,5;582;976
Cre09.g396957.v5.5;9;2;3;3;5;7;5;4,666666667;6;3,5;5
Cre09.g396994.v5.5;90;58;67;98;73;81;84;71,66666667;94;65,5;74
Cre09.g397000.v5.5;404;102;197;136;128;118;127,3333333;234,3333333;270;115;157,5
Cre09.g397002.v5.5;24;100;161;11;10;46;22,33333333;95;17,5;55;103,5
Cre09.g397031.v5.5;135;172;227;162;156;170;162,6666667;178;148,5;164;198,5
Cre09.g397050.v5.5;689;259;533;351;255;395;333,6666667;493,6666667;520;257;464
Cre09.g397052.v5.5;5;2;9;4;7;7;6;5,333333333;4,5;4,5;8
Cre09.g397068.v5.5;89;17;34;82;24;107;71;46,66666667;85,5;20,5;70,5
Cre09.g397095.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre09.g397098.v5.5;4;1;0;0;0;1;0,333333333;1,666666667;2;0,5;0,5
Cre09.g397100.v5.5;334;276;264;431;218;463;370,6666667;291,3333333;382,5;247;363,5
Cre09.g397105.v5.5;66;45;42;56;28;63;49;51;61;36,5;52,5
Cre09.g397142.v5.5;431;212;302;188;128;237;184,3333333;315;309,5;170;269,5
Cre09.g397150.v5.5;118;57;121;81;32;66;59,66666667;98,66666667;99,5;44,5;93,5
Cre09.g397179.v5.5;35;23;37;29;11;22;20,66666667;31,66666667;32;17;29,5
Cre09.g397200.v5.5;525;260;246;225;151;176;184;343,6666667;375;205,5;211
Cre09.g397216.v5.5;55;31;51;50;38;47;45;45,66666667;52,5;34,5;49
Cre09.g397250.v5.5;125;705;686;397;231;326;318;505,3333333;261;468;506
Cre09.g397253.v5.5;100;62;84;69;51;100;73,33333333;82;84,5;56,5;92
Cre09.g397290.v5.5;16;2;5;4;2;4;3,333333333;7,666666667;10;2;4,5
Cre09.g397300.v5.5;62;17;23;13;20;8;13,66666667;34;37,5;18,5;15,5
Cre09.g397327.v5.5;201;80;103;145;145;183;157,6666667;128;173;112,5;143
Cre09.g397350.v5.5;30;2;3;5;6;1;4;11,66666667;17,5;4;2
Cre09.g397364.v5.5;14;12;8;120;54;113;95,66666667;11,33333333;67;33;60,5
Cre09.g397400.v5.5;90;30;30;19;6;13;12,66666667;50;54,5;18;21,5
Cre09.g397401.v5.5;5;1;6;179;158;186;174,3333333;4;92;79,5;96
Cre09.g397438.v5.5;103;57;76;234;154;290;226;78,66666667;168,5;105,5;183
Cre09.g397450.v5.5;681;61;68;21;15;45;27;270;351;38;56,5
Cre09.g397475.v5.5;84;34;27;635;433;549;539;48,33333333;359,5;233,5;288
Cre09.g397500.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre09.g397512.v5.5;146;65;114;31;66;150;82,33333333;108,3333333;88,5;65,5;132
Cre09.g397549.v5.5;2501;1320;2502;1953;1166;1978;1699;2107,666667;2227;1243;2240
Cre09.g397550.v5.5;202;97;407;294;171;360;275;235,3333333;248;134;383,5
Cre09.g397586.v5.5;333;83;178;123;82;110;105;198;228;82,5;144
Cre09.g397623.v5.5;123;110;30;68;159;107;111,3333333;87,66666667;95,5;134,5;68,5
Cre09.g397660.v5.5;536;173;216;433;493;918;614,6666667;308,3333333;484,5;333;567
Cre09.g397697.v5.5;44431;29373;47292;66097;44367;40748;50404;40365,33333;55264;36870;44020
Cre09.g397700.v5.5;5;1;0;1;7;6;4,666666667;2;3;4;3
Cre09.g397701.v5.5;11;0;0;0;0;0;0;3,666666667;5,5;0;0
Cre09.g397702.v5.5;14;6;2;78;153;63;98;7,333333333;46;79,5;32,5
Cre09.g397734.v5.5;107;131;143;72;94;130;98,66666667;127;89,5;112,5;136,5
Cre09.g397771.v5.5;162;70;194;109;40;131;93,33333333;142;135,5;55;162,5
Cre09.g397800.v5.5;67;24;29;31;13;73;39;40;49;18,5;51
Cre09.g397803.v5.5;8;10;2;26;38;20;28;6,666666667;17;24;11
Cre09.g397808.v5.5;49;61;100;51;48;60;53;70;50;54,5;80
Cre09.g397845.v5.5;30;6;26;15;11;19;15;20,66666667;22,5;8,5;22,5
Cre09.g397850.v5.5;112;507;72;261;135;180;192;230,3333333;186,5;321;126
Cre09.g397882.v5.5;193;79;142;128;146;176;150;138;160,5;112,5;159
Cre09.g397900.v5.5;188;48;76;64;25;45;44,66666667;104;126;36,5;60,5
Cre09.g397919.v5.5;0;2;0;0;0;1;0,333333333;0,666666667;0;1;0,5
Cre09.g397950.v5.5;47;34;35;25;11;26;20,66666667;38,66666667;36;22,5;30,5
Cre09.g397956.v5.5;24;9;22;21;18;39;26;18,33333333;22,5;13,5;30,5
Cre09.g397993.v5.5;78;85;43;111;56;73;80;68,66666667;94,5;70,5;58
Cre09.g398030.v5.5;275;128;235;147;102;157;135,3333333;212,6666667;211;115;196
Cre09.g398050.v5.5;94;26;66;40;9;12;20,33333333;62;67;17,5;39
Cre09.g398051.v5.5;5;23;38;59;15;46;40;22;32;19;42
Cre09.g398067.v5.5;224;138;217;203;188;246;212,3333333;193;213,5;163;231,5
Cre09.g398100.v5.5;41;36;37;42;28;54;41,33333333;38;41,5;32;45,5
Cre09.g398104.v5.5;408;258;504;621;363;776;586,6666667;390;514,5;310,5;640
Cre09.g398141.v5.5;163;26;25;42;41;13;32;71,33333333;102,5;33,5;19
Cre09.g398150.v5.5;127;47;38;39;17;7;21;70,66666667;83;32;22,5
Cre09.g398178.v5.5;14;10;11;10;18;29;19;11,66666667;12;14;20
Cre09.g398200.v5.5;244;65;148;96;49;104;83;152,3333333;170;57;126
Cre09.g398215.v5.5;21;28;43;31;23;27;27;30,66666667;26;25,5;35
Cre09.g398250.v5.5;8;3;5;6;5;5;5,333333333;5,333333333;7;4;5
Cre09.g398252.v5.5;99;66;93;119;80;97;98,66666667;86;109;73;95
Cre09.g398289.v5.5;76;88;86;70;51;35;52;83,33333333;73;69,5;60,5
Cre09.g398300.v5.5;34;7;15;11;10;10;10,33333333;18,66666667;22,5;8,5;12,5
Cre09.g398326.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre09.g398350.v5.5;90;36;52;52;48;84;61,33333333;59,33333333;71;42;68
Cre09.g398363.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre09.g398400.v5.5;0;0;0;7;5;34;15,33333333;0;3,5;2,5;17
Cre09.g398401.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre09.g398438.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre09.g398450.v5.5;1;0;0;0;0;1;0,333333333;0,333333333;0,5;0;0,5
Cre09.g398475.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre09.g398500.v5.5;3;1;0;2;0;4;2;1,333333333;2,5;0,5;2
Cre09.g398512.v5.5;0;1;1;0;0;0;0;0,666666667;0;0,5;0,5
Cre09.g398549.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre09.g398550.v5.5;251;80;225;259;109;271;213;185,3333333;255;94,5;248
Cre09.g398554.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre09.g398555.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre09.g398556.v5.5;4;0;2;1;1;0;0,666666667;2;2,5;0,5;1
Cre09.g398586.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre09.g398623.v5.5;1;0;1;0;0;0;0;0,666666667;0,5;0;0,5
Cre09.g398650.v5.5;239;125;173;145;70;140;118,3333333;179;192;97,5;156,5
Cre09.g398652.v5.5;1;1;1;0;0;0;0;1;0,5;0,5;0,5
Cre09.g398660.v5.5;0;0;0;0;0;1;0,333333333;0;0;0;0,5
Cre09.g398697.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre09.g398700.v5.5;68;49;83;93;98;165;118,6666667;66,66666667;80,5;73,5;124
Cre09.g398702.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre09.g398734.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre09.g398750.v5.5;61;1;5;4;6;1;3,666666667;22,33333333;32,5;3,5;3
Cre09.g398771.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre09.g398800.v5.5;0;0;0;0;1;0;0,333333333;0;0;0,5;0
Cre09.g398808.v5.5;157;48;93;88;56;118;87,33333333;99,33333333;122,5;52;105,5
Cre09.g398845.v5.5;49;35;60;25;34;95;51,33333333;48;37;34,5;77,5
Cre09.g398850.v5.5;137;91;108;59;71;70;66,66666667;112;98;81;89
Cre09.g398882.v5.5;969;728;551;807;562;986;785;749,3333333;888;645;768,5
Cre09.g398900.v5.5;1693;311;514;328;411;684;474,3333333;839,3333333;1010,5;361;599
Cre09.g398919.v5.5;127;131;79;117;38;53;69,33333333;112,3333333;122;84,5;66
Cre09.g398950.v5.5;0;2;0;0;0;0;0;0,666666667;0;1;0
Cre09.g398956.v5.5;1;4;6;4;1;2;2,333333333;3,666666667;2,5;2,5;4
Cre09.g398983.v5.5;13;0;0;0;0;1;0,333333333;4,333333333;6,5;0;0,5
Cre09.g398993.v5.5;19;4;12;1;5;3;3;11,66666667;10;4,5;7,5
Cre09.g399000.v5.5;0;0;0;0;1;0;0,333333333;0;0;0,5;0
Cre09.g399030.v5.5;222;520;860;259;173;312;248;534;240,5;346,5;586
Cre09.g399050.v5.5;29;13;14;11;14;8;11;18,66666667;20;13,5;11
Cre09.g399067.v5.5;196;146;233;589;407;725;573,6666667;191,6666667;392,5;276,5;479
Cre09.g399073.v5.5;99;63;65;62;36;35;44,33333333;75,66666667;80,5;49,5;50
Cre09.g399100.v5.5;144;5;17;8;2;3;4,333333333;55,33333333;76;3,5;10
Cre09.g399104.v5.5;164;154;174;127;72;104;101;164;145,5;113;139
Cre09.g399141.v5.5;82;38;94;45;36;106;62,33333333;71,33333333;63,5;37;100
Cre09.g399150.v5.5;52;27;12;9;22;31;20,66666667;30,33333333;30,5;24,5;21,5
Cre09.g399178.v5.5;166;89;98;117;104;180;133,6666667;117,6666667;141,5;96,5;139
Cre09.g399200.v5.5;0;0;0;0;0;1;0,333333333;0;0;0;0,5
Cre09.g399215.v5.5;195;129;66;178;91;133;134;130;186,5;110;99,5
Cre09.g399250.v5.5;557;582;687;3;4;4;3,666666667;608,6666667;280;293;345,5
Cre09.g399252.v5.5;397;145;212;98;76;79;84,33333333;251,3333333;247,5;110,5;145,5
Cre09.g399289.v5.5;27;13;21;20;20;50;30;20,33333333;23,5;16,5;35,5
Cre09.g399300.v5.5;38;0;0;4;5;5;4,666666667;12,66666667;21;2,5;2,5
Cre09.g399326.v5.5;194;22;34;33;22;48;34,33333333;83,33333333;113,5;22;41
Cre09.g399350.v5.5;234;35;135;190;112;99;133,6666667;134,6666667;212;73,5;117
Cre09.g399363.v5.5;758;2;12;37;34;130;67;257,3333333;397,5;18;71
Cre09.g399400.v5.5;7;0;3;0;0;0;0;3,333333333;3,5;0;1,5
Cre09.g399402.v5.5;63;41;58;70;36;37;47,66666667;54;66,5;38,5;47,5
Cre09.g399439.v5.5;133;71;157;144;85;157;128,6666667;120,3333333;138,5;78;157
Cre09.g399450.v5.5;28;17;32;26;17;48;30,33333333;25,66666667;27;17;40
Cre09.g399476.v5.5;16;3;6;3;16;12;10,33333333;8,333333333;9,5;9,5;9
Cre09.g399513.v5.5;323;367;144;267;162;261;230;278;295;264,5;202,5
Cre09.g399550.v5.5;2388;47;131;134;45;128;102,3333333;855,3333333;1261;46;129,5
Cre09.g399551.v5.5;22;9;1;0;1;2;1;10,66666667;11;5;1,5
Cre09.g399552.v5.5;1639;234;787;1653;439;229;773,6666667;886,6666667;1646;336,5;508
Cre09.g399589.v5.5;16;32;17;26;19;37;27,33333333;21,66666667;21;25,5;27
Cre09.g399600.v5.5;0;7;2;3;5;4;4;3;1,5;6;3
Cre09.g399601.v5.5;141;8;2;1;9;6;5,333333333;50,33333333;71;8,5;4
Cre09.g399626.v5.5;153;208;301;296;225;592;371;220,6666667;224,5;216,5;446,5
Cre09.g399650.v5.5;1042;60;203;90;59;70;73;435;566;59,5;136,5
Cre09.g399663.v5.5;207;250;286;405;343;369;372,3333333;247,6666667;306;296,5;327,5
Cre09.g399701.v5.5;403;333;313;521;332;589;480,6666667;349,6666667;462;332,5;451
Cre09.g399738.v5.5;130;56;68;60;41;66;55,66666667;84,66666667;95;48,5;67
Cre09.g399775.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre09.g399812.v5.5;2;3;0;14;6;16;12;1,666666667;8;4,5;8
Cre09.g399849.v5.5;0;0;0;1;0;0;0,333333333;0;0,5;0;0
Cre09.g399886.v5.5;0;0;0;0;0;2;0,666666667;0;0;0;1
Cre09.g399900.v5.5;0;0;0;0;0;0;0;0;0;0;0
