;MV1_Singlecell_C;MV2_Singlecell_R;MV3_Singlecell_N;MV4_Cellgroups_C;MV5_Cellgroups_R;MV6_Cellgroups_N;Average_Cellgroups;Average_Singlecell;Average_C;Average_R;Average_N
Cre01.g006700.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre01.g006733.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre01.g006766.v5.5;0;1;1;0;2;1;1;0,666666667;0;1,5;1
Cre01.g006800.v5.5;108;138;162;161;111;140;137,3333333;136;134,5;124,5;151
Cre01.g006850.v5.5;115;111;132;224;111;179;171,3333333;119,3333333;169,5;111;155,5
Cre01.g006876.v5.5;0;1;1;5;3;4;4;0,666666667;2,5;2;2,5
Cre01.g006900.v5.5;188;65;98;150;106;112;122,6666667;117;169;85,5;105
Cre01.g006950.v5.5;248;1213;850;1308;746;520;858;770,3333333;778;979,5;685
Cre01.g007000.v5.5;190;186;257;333;321;396;350;211;261,5;253,5;326,5
Cre01.g007050.v5.5;166;290;328;573;382;443;466;261,3333333;369,5;336;385,5
Cre01.g007051.v5.5;22935;19846;31911;34788;24485;31617;30296,66667;24897,33333;28861,5;22165,5;31764
Cre01.g007100.v5.5;71;35;43;34;27;39;33,33333333;49,66666667;52,5;31;41
Cre01.g007150.v5.5;78;50;88;97;88;122;102,3333333;72;87,5;69;105
Cre01.g007200.v5.5;339;226;328;263;173;385;273,6666667;297,6666667;301;199,5;356,5
Cre01.g007251.v5.5;182;23;28;11;9;4;8;77,66666667;96,5;16;16
Cre01.g007300.v5.5;71;60;102;42;58;57;52,33333333;77,66666667;56,5;59;79,5
Cre01.g007350.v5.5;197;26;32;118;87;280;161,6666667;85;157,5;56,5;156
Cre01.g007400.v5.5;9;13;32;0;2;6;2,666666667;18;4,5;7,5;19
Cre01.g007450.v5.5;24;20;31;3;2;7;4;25;13,5;11;19
Cre01.g007500.v5.5;252;76;121;180;101;150;143,6666667;149,6666667;216;88,5;135,5
Cre01.g007550.v5.5;96;59;83;78;56;87;73,66666667;79,33333333;87;57,5;85
Cre01.g007600.v5.5;2024;2561;5275;2971;2043;4473;3162,333333;3286,666667;2497,5;2302;4874
Cre01.g007651.v5.5;183;80;226;294;171;280;248,3333333;163;238,5;125,5;253
Cre01.g007700.v5.5;295;314;425;255;110;194;186,3333333;344,6666667;275;212;309,5
Cre01.g007737.v5.5;184;88;151;91;100;207;132,6666667;141;137,5;94;179
Cre01.g007774.v5.5;234;161;232;240;176;297;237,6666667;209;237;168,5;264,5
Cre01.g007811.v5.5;75;14;33;16;22;51;29,66666667;40,66666667;45,5;18;42
Cre01.g007850.v5.5;880;535;617;574;459;674;569;677,3333333;727;497;645,5
Cre01.g007901.v5.5;996;639;1211;2726;1403;3784;2637,666667;948,6666667;1861;1021;2497,5
Cre01.g007950.v5.5;16;11;7;17;8;28;17,66666667;11,33333333;16,5;9,5;17,5
Cre01.g008000.v5.5;54;37;37;18;22;17;19;42,66666667;36;29,5;27
Cre01.g008051.v5.5;85;25;46;56;45;69;56,66666667;52;70,5;35;57,5
Cre01.g008100.v5.5;1402;459;994;1060;487;593;713,3333333;951,6666667;1231;473;793,5
Cre01.g008150.v5.5;352;250;295;198;114;261;191;299;275;182;278
Cre01.g008200.v5.5;94;36;48;68;72;53;64,33333333;59,33333333;81;54;50,5
Cre01.g008250.v5.5;419;73;149;38;23;12;24,33333333;213,6666667;228,5;48;80,5
Cre01.g008300.v5.5;924;246;845;636;375;449;486,6666667;671,6666667;780;310,5;647
Cre01.g008350.v5.5;1868;749;1478;978;611;683;757,3333333;1365;1423;680;1080,5
Cre01.g008402.v5.5;901;12;44;9;10;18;12,33333333;319;455;11;31
Cre01.g008450.v5.5;445;47;55;47;61;116;74,66666667;182,3333333;246;54;85,5
Cre01.g008500.v5.5;58;43;61;77;43;49;56,33333333;54;67,5;43;55
Cre01.g008550.v5.5;72;63;75;74;72;126;90,66666667;70;73;67,5;100,5
Cre01.g008600.v5.5;74;26;80;40;34;62;45,33333333;60;57;30;71
Cre01.g008650.v5.5;442;190;458;434;207;442;361;363,3333333;438;198,5;450
Cre01.g008700.v5.5;42;113;46;105;78;127;103,3333333;67;73,5;95,5;86,5
Cre01.g008750.v5.5;3;0;11;1;11;10;7,333333333;4,666666667;2;5,5;10,5
Cre01.g008800.v5.5;142;151;174;624;430;560;538;155,6666667;383;290,5;367
Cre01.g008850.v5.5;280;214;250;184;192;207;194,3333333;248;232;203;228,5
Cre01.g008891.v5.5;20;35;43;7;17;25;16,33333333;32,66666667;13,5;26;34
Cre01.g008900.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre01.g008950.v5.5;734;154;463;62;90;216;122,6666667;450,3333333;398;122;339,5
Cre01.g008976.v5.5;0;1;1;1;0;3;1,333333333;0,666666667;0,5;0,5;2
Cre01.g009000.v5.5;166;303;289;340;296;572;402,6666667;252,6666667;253;299,5;430,5
Cre01.g009025.v5.5;113;86;86;136;74;73;94,33333333;95;124,5;80;79,5
Cre01.g009050.v5.5;0;1;0;0;0;0;0;0,333333333;0;0,5;0
Cre01.g009101.v5.5;31;6;13;84;23;56;54,33333333;16,66666667;57,5;14,5;34,5
Cre01.g009150.v5.5;25;4;19;9;9;63;27;16;17;6,5;41
Cre01.g009200.v5.5;54;24;11;21;26;24;23,66666667;29,66666667;37,5;25;17,5
Cre01.g009250.v5.5;130;39;29;45;47;47;46,33333333;66;87,5;43;38
Cre01.g009300.v5.5;412;101;191;119;71;82;90,66666667;234,6666667;265,5;86;136,5
Cre01.g009325.v5.5;0;0;0;0;1;0;0,333333333;0;0;0,5;0
Cre01.g009350.v5.5;2530;866;1893;193;30;417;213,3333333;1763;1361,5;448;1155
Cre01.g009400.v5.5;2267;2994;4988;2311;1672;1573;1852;3416,333333;2289;2333;3280,5
Cre01.g009450.v5.5;36;2;16;2;9;8;6,333333333;18;19;5,5;12
Cre01.g009500.v5.5;91;134;127;166;79;124;123;117,3333333;128,5;106,5;125,5
