GeneID;MV1_Singlecell_C;MV2_Singlecell_R;MV3_Singlecell_N;MV4_Cellgroups_C;MV5_Cellgroups_R;MV6_Cellgroups_N;Average_Cellgroups;Average_Singlecell;Average_C;Average_R;Average_N
Cre01.g002700;5,9687374;5,799980472;5,769429817;5,696579968;6,023107577;5,706395553;5,84604923;5,808694366;5,832658684;5,911544024;5,737912685
Cre01.g002750;5,419400215;6,105034352;5,877782921;5,511162873;5,357839379;5,968936915;5,800739163;5,612646389;5,465281544;5,731436866;5,923359918
Cre01.g002787;3,243556599;2,931696455;3,096725496;3,362783174;3,176707738;3,102114426;3,090659517;3,213868446;3,303169886;3,054202097;3,099419961
Cre01.g002824;0,909644732;0,634837106;0,599119162;0,674230158;0,545167691;0,53582509;0,714533667;0,585074313;0,791937445;0,590002399;0,567472126
Cre01.g002861;7,324553618;7,263440422;6,905314573;7,603262864;7,627065642;7,30064471;7,164436204;7,510324405;7,463908241;7,445253032;7,102979641
Cre01.g002900;6,610146651;8,11655709;7,128687544;7,600083907;7,776920461;7,731256854;7,285130428;7,702753741;7,105115279;7,946738775;7,429972199
Cre01.g002950;6,358596789;6,249010156;6,638550838;6,348408276;6,38368573;6,245715502;6,415385928;6,325936502;6,353502532;6,316347943;6,44213317
Cre01.g003000;2,478171282;2,019402048;2,084161553;2,26791153;2,102362184;2,279195079;2,193911628;2,216489598;2,373041406;2,060882116;2,181678316
Cre01.g003050;5,879765712;5,080728986;5,635102026;5,145573947;5,264642724;5,850103423;5,531865575;5,420106698;5,512669829;5,172685855;5,742602725
Cre01.g003100;-0,273195482;-0,180464;-0,272037684;-0,203041763;-0,179181229;-0,152970223;-0,241899055;-0,178397738;-0,238118623;-0,179822614;-0,212503953
Cre01.g003150;5,437892876;5,463894278;5,596847907;5,186071323;5,387999783;5,481843596;5,499545021;5,351971567;5,311982099;5,425947031;5,539345752
Cre01.g003200;5,391083551;5,780311753;5,513098725;5,509968066;5,655937912;5,210489821;5,56149801;5,458798599;5,450525809;5,718124832;5,361794273
Cre01.g003300;1,472690409;3,65402366;1,491021769;1,509828636;1,557973448;1,610826942;2,205911946;1,559543009;1,491259523;2,605998554;1,550924355
Cre01.g003376;7,64526794;7,061034621;8,205301562;8,086418788;7,713157303;8,303304108;7,637201375;8,034293399;7,865843364;7,387095962;8,254302835
Cre01.g003450;6,676468805;6,422130035;6,790140572;6,471069303;6,624101607;6,26587128;6,629579804;6,45368073;6,573769054;6,523115821;6,528005926
Cre01.g003463;7,19487999;7,321150588;6,970908326;7,111285833;7,115783774;7,006668507;7,162312968;7,077912705;7,153082911;7,218467181;6,988788417
Cre01.g003475;1,877778585;2,083744254;2,010587812;2,354149668;2,423435351;2,395539198;1,99070355;2,391041406;2,115964126;2,253589803;2,203063505
Cre01.g003487;5,113074686;5,010431542;5,282853156;5,409218753;5,676704944;5,555055725;5,135453128;5,546993141;5,26114672;5,343568243;5,41895444
